scope,category,subcategory,fuel_type,region,unit,co2_factor,ch4_factor,n2o_factor,total_co2e,ec_gj_per_unit,notes,nger_method,source
3,Waste,Solid Waste,C&D Waste Generic,Australia,t,0.2,0,0,0.2,,Generic construction & demolition - INERT MATERIALS ONLY,Method 1,NGA 2024 Table 8
3,Waste,Solid Waste,Timber to Landfill,Australia,t,0.43,0,0,1.5,,DOC=0.43 with MCF calculation - MUST use for wood waste,Method 2,NGER Determination s1.91
3,Waste,Solid Waste,Paper to Landfill,Australia,t,0.40,0,0,1.4,,DOC=0.40 with MCF calculation,Method 2,NGER Determination s1.91
3,Waste,Solid Waste,Food to Landfill,Australia,t,0.15,0,0,0.5,,DOC=0.15 with MCF calculation,Method 2,NGER Determination s1.91
3,Water,Potable Water,Supply & Treatment,NSW,kL,0.51,0,0,0.51,,Water supply embodied emissions,Regional,GHG Protocol
3,Water,Potable Water,Supply & Treatment,VIC,kL,0.68,0,0,0.68,,Water supply embodied emissions,Regional,GHG Protocol
3,Water,Potable Water,Supply & Treatment,QLD,kL,0.23,0,0,0.23,,Water supply embodied emissions,Regional,GHG Protocol
3,Water,Potable Water,Supply & Treatment,SA,kL,0.36,0,0,0.36,,Water supply embodied emissions,Regional,GHG Protocol
3,Water,Potable Water,Supply & Treatment,WA,kL,0.35,0,0,0.35,,Water supply embodied emissions,Regional,GHG Protocol
3,Water,Wastewater,Treatment & Disposal,NSW,kL,0.79,0,0,0.79,,Wastewater treatment embodied emissions,Regional,GHG Protocol
3,Water,Wastewater,Treatment & Disposal,VIC,kL,0.93,0,0,0.93,,Wastewater treatment embodied emissions,Regional,GHG Protocol
3,Water,Wastewater,Treatment & Disposal,QLD,kL,0.32,0,0,0.32,,Wastewater treatment embodied emissions,Regional,GHG Protocol
3,Water,Wastewater,Treatment & Disposal,SA,kL,0.55,0,0,0.55,,Wastewater treatment embodied emissions,Regional,GHG Protocol
3,Water,Wastewater,Treatment & Disposal,WA,kL,0.49,0,0,0.49,,Wastewater treatment embodied emissions,Regional,GHG Protocol
